commented_id,score,commenter_id,commented_aid,commenter_aid,date
35739,1,30855,124532,134211,2009-07-17
143751,1,44032,138554,139140,2009-08-17
18508,1,44032,138554,139140,2009-08-17
119313,1,138855,140183,143490,2009-09-11
21739,1,138855,140183,143490,2009-09-11
132580,1,65404,147038,147900,2009-10-05
132580,1,65406,147038,147900,2009-10-05
132580,1,65409,147038,147900,2009-10-05
64665,1,65404,147038,147900,2009-10-05
64665,1,65406,147038,147900,2009-10-05
64665,1,65409,147038,147900,2009-10-05
25543,1,83682,121313,148348,2009-10-07
152890,1,178388,120783,154798,2009-11-09
152890,1,58376,120783,154798,2009-11-09
100457,1,100457,154852,157107,2009-11-20
100457,1,159740,154852,157107,2009-11-20
100457,1,37602,154852,157107,2009-11-20
159740,1,100457,154852,157107,2009-11-20
159740,1,159740,154852,157107,2009-11-20
159740,1,37602,154852,157107,2009-11-20
37602,1,100457,154852,157107,2009-11-20
37602,1,159740,154852,157107,2009-11-20
37602,1,37602,154852,157107,2009-11-20
16020,1,180806,134436,158204,2009-11-26
16020,1,73581,134436,158204,2009-11-26
16020,1,87649,134436,158204,2009-11-26
16020,1,37887,134436,158204,2009-11-26
16020,1,180807,134436,158204,2009-11-26
16020,1,96587,134436,158204,2009-11-26
163230,1,37887,134436,158204,2009-11-26
83055,1,37887,134436,158204,2009-11-26
61108,1,15539,154348,159329,2009-12-03
61108,1,158852,154348,159329,2009-12-03
61108,1,80104,154348,159329,2009-12-03
15224,1,56633,15587,159421,2009-12-03
15224,1,16898,15587,159421,2009-12-03
64228,1,13671,160559,161540,2009-12-14
5193,1,116539,137491,162446,2009-12-18
19882,1,116539,137491,162446,2009-12-18
47277,1,24151,406555,162797,2009-12-20
47277,1,184783,406555,162797,2009-12-20
47277,1,24152,406555,162797,2009-12-20
47277,1,8225,406555,162797,2009-12-20
47278,1,24151,406555,162797,2009-12-20
47278,1,184783,406555,162797,2009-12-20
47278,1,24152,406555,162797,2009-12-20
47278,1,8225,406555,162797,2009-12-20
51067,1,18264,164242,172517,2010-02-13
51067,1,13645,164242,172517,2010-02-13
51067,1,4314,164242,172517,2010-02-13
81191,1,193770,47085,173473,2010-02-19
1,1,81191,1,173840,2010-02-22
2,1,81191,1,173840,2010-02-22
3,1,81191,1,173840,2010-02-22
4,1,81191,1,173840,2010-02-22
11046,1,25543,121865,178247,2010-03-17
27750,1,25543,121865,178247,2010-03-17
49963,1,25543,121865,178247,2010-03-17
7815,1,25543,121865,178247,2010-03-17
123085,1,25543,121865,178247,2010-03-17
49043,1,25543,121865,178247,2010-03-17
52528,1,25543,121865,178247,2010-03-17
76961,1,25543,121865,178247,2010-03-17
153660,1,25543,121865,178247,2010-03-17
21700,1,87649,121865,178247,2010-03-17
21700,1,25543,121865,178247,2010-03-17
110058,1,25543,121865,178247,2010-03-17
64645,1,25543,121865,178247,2010-03-17
235,1,4578,114,180040,2010-03-26
236,1,4578,114,180040,2010-03-26
237,1,4578,114,180040,2010-03-26
238,1,4578,114,180040,2010-03-26
53485,1,2441,186226,188348,2010-05-11
27726,1,2441,186226,188348,2010-05-11
37887,1,85439,181478,188450,2010-05-11
37887,1,14922,181478,188450,2010-05-11
102873,1,102873,108017,189889,2010-05-18
102873,1,1397,108017,189889,2010-05-18
102873,1,1398,108017,189889,2010-05-18
1398,1,102873,108017,189889,2010-05-18
1398,1,1397,108017,189889,2010-05-18
1398,1,1398,108017,189889,2010-05-18
31122,1,17336,149898,190438,2010-05-20
172286,1,17336,149898,190438,2010-05-20
95965,1,17336,149898,190438,2010-05-20
156560,1,17336,149898,190438,2010-05-20
48233,1,17336,149898,190438,2010-05-20
52215,1,17336,149898,190438,2010-05-20
121820,1,17336,149898,190438,2010-05-20
94434,1,17336,149898,190438,2010-05-20
64645,1,17336,149898,190438,2010-05-20
49966,1,17336,149898,190438,2010-05-20
40412,1,12313,468528,192767,2010-06-02
40412,1,20452,468528,192767,2010-06-02
40412,1,20454,468528,192767,2010-06-02
20444,1,12313,468528,192767,2010-06-02
20444,1,20452,468528,192767,2010-06-02
20444,1,20454,468528,192767,2010-06-02
16975,1,12313,468528,192767,2010-06-02
16975,1,20452,468528,192767,2010-06-02
16975,1,20454,468528,192767,2010-06-02
115022,1,12313,468528,192767,2010-06-02
115022,1,20452,468528,192767,2010-06-02
115022,1,20454,468528,192767,2010-06-02
1430,1,12313,468528,192767,2010-06-02
1430,1,20452,468528,192767,2010-06-02
1430,1,20454,468528,192767,2010-06-02
20458,1,12313,468528,192767,2010-06-02
20458,1,20452,468528,192767,2010-06-02
20458,1,20454,468528,192767,2010-06-02
15773,1,17773,165496,193944,2010-05-29
21594,1,38762,191145,194096,2010-06-09
207922,1,38762,191145,194096,2010-06-09
27736,1,85983,161133,194875,2010-06-13
27736,1,26288,161133,194875,2010-06-13
27736,1,79938,161133,194875,2010-06-13
27736,1,210735,161133,194875,2010-06-13
154162,1,23119,149515,202140,2010-07-22
154162,1,12980,149515,202140,2010-07-22
7642,1,23119,149515,202140,2010-07-22
7642,1,12980,149515,202140,2010-07-22
151483,1,217259,194306,203781,2010-07-30
210405,1,217259,194306,203781,2010-07-30
151484,1,217259,194306,203781,2010-07-30
96634,1,47187,156214,208578,2010-08-27
82123,1,82123,238764,212336,2010-09-16
82123,1,82124,238764,212336,2010-09-16
82124,1,82123,238764,212336,2010-09-16
82124,1,82124,238764,212336,2010-09-16
136869,1,17745,101849,213349,2010-09-21
136869,1,17746,101849,213349,2010-09-21
136869,1,17747,101849,213349,2010-09-21
98918,1,17745,101849,213349,2010-09-21
98918,1,17746,101849,213349,2010-09-21
98918,1,17747,101849,213349,2010-09-21
81073,1,17745,101849,213349,2010-09-21
81073,1,17746,101849,213349,2010-09-21
81073,1,17747,101849,213349,2010-09-21
115183,1,17745,101849,213349,2010-09-21
115183,1,17746,101849,213349,2010-09-21
115183,1,17747,101849,213349,2010-09-21
136869,1,136869,101849,214197,2010-09-25
136869,1,98918,101849,214197,2010-09-25
136869,1,81073,101849,214197,2010-09-25
98918,1,136869,101849,214197,2010-09-25
98918,1,98918,101849,214197,2010-09-25
98918,1,81073,101849,214197,2010-09-25
81073,1,136869,101849,214197,2010-09-25
81073,1,98918,101849,214197,2010-09-25
81073,1,81073,101849,214197,2010-09-25
115183,1,136869,101849,214197,2010-09-25
115183,1,98918,101849,214197,2010-09-25
115183,1,81073,101849,214197,2010-09-25
136869,1,115183,101849,214197,2010-09-25
98918,1,115183,101849,214197,2010-09-25
81073,1,115183,101849,214197,2010-09-25
115183,1,115183,101849,214197,2010-09-25
433727,2,2969,751996,216368,2010-10-05
433727,2,2970,751996,216368,2010-10-05
26167,1,44151,751996,216368,2010-10-05
26167,2,2969,751996,216368,2010-10-05
26167,2,2970,751996,216368,2010-10-05
350041,2,2969,751996,216368,2010-10-05
350041,2,2970,751996,216368,2010-10-05
84510,1,44151,751996,216368,2010-10-05
84510,2,2969,751996,216368,2010-10-05
84510,2,2970,751996,216368,2010-10-05
22170,1,40289,127962,216917,2010-10-07
94559,1,40289,127962,216917,2010-10-07
158356,1,40289,127962,216917,2010-10-07
1,1,154162,1,217331,2010-10-10
1,1,7642,1,217331,2010-10-10
2,1,154162,1,217331,2010-10-10
2,1,7642,1,217331,2010-10-10
3,1,154162,1,217331,2010-10-10
3,1,7642,1,217331,2010-10-10
4,1,154162,1,217331,2010-10-10
4,1,7642,1,217331,2010-10-10
17377,1,70821,83694,218313,2010-10-14
17377,1,227981,83694,218313,2010-10-14
17377,1,199898,83694,218313,2010-10-14
26698,1,26698,122389,227285,2010-11-25
217259,1,134632,224215,230781,2010-12-10
217259,1,7264,224215,230781,2010-12-10
217259,1,192078,224215,230781,2010-12-10
217259,1,137367,224215,230781,2010-12-10
206375,1,20275,215551,235604,2011-01-06
49168,1,20275,215551,235604,2011-01-06
114697,1,20275,215551,235604,2011-01-06
119386,1,20275,215551,235604,2011-01-06
95803,1,27048,173040,238427,2011-01-20
156237,1,27048,173040,238427,2011-01-20
178388,1,61266,202711,243471,2011-02-14
58376,1,61266,202711,243471,2011-02-14
95803,1,8325,173040,246640,2011-03-01
95803,1,156237,173040,246640,2011-03-01
156237,1,8325,173040,246640,2011-03-01
156237,1,156237,173040,246640,2011-03-01
28878,1,10616,189187,246839,2011-03-02
64256,1,122184,188092,247115,2011-03-03
64260,1,122184,188092,247115,2011-03-03
40289,1,180904,219310,247817,2011-03-08
197269,1,4578,177931,253912,2011-04-07
32995,1,4578,177931,253912,2011-04-07
32996,1,4578,177931,253912,2011-04-07
103946,1,91852,203057,259892,2011-05-09
93,1,91852,203057,259892,2011-05-09
192611,1,40289,172164,260445,2011-05-11
48149,1,40289,172164,260445,2011-05-11
103946,1,103946,203057,265576,2011-06-05
103946,1,93,203057,265576,2011-06-05
93,1,103946,203057,265576,2011-06-05
93,1,93,203057,265576,2011-06-05
216048,1,8732,269103,270016,2011-06-27
216048,1,7891,269103,270016,2011-06-27
48530,1,8732,269103,270016,2011-06-27
48530,1,7891,269103,270016,2011-06-27
223825,1,8732,269103,270016,2011-06-27
223825,1,7891,269103,270016,2011-06-27
126075,1,8732,269103,270016,2011-06-27
126075,1,7891,269103,270016,2011-06-27
123102,1,8732,269103,270016,2011-06-27
123102,1,7891,269103,270016,2011-06-27
94158,1,8732,269103,270016,2011-06-27
94158,1,7891,269103,270016,2011-06-27
29261,1,10308,243824,272255,2011-07-06
51498,1,51067,271433,272432,2011-07-07
11114,1,51067,271433,272432,2011-07-07
193770,1,5494,276959,278182,2011-08-04
17336,1,2984,6770,278235,2011-08-04
17336,1,8523,6770,278235,2011-08-04
17336,1,84776,6770,278235,2011-08-04
17336,1,187330,6770,278235,2011-08-04
17336,1,2992,6770,278235,2011-08-04
17336,1,187331,6770,278235,2011-08-04
17336,1,2993,6770,278235,2011-08-04
120977,1,37348,278188,278727,2011-08-08
19912,1,34503,203346,280134,2011-08-15
212349,1,35739,283325,294893,2011-10-20
272987,1,35739,283325,294893,2011-10-20
78875,1,45383,291221,301442,2011-11-17
256880,1,45383,291221,301442,2011-11-17
44179,1,45383,291221,301442,2011-11-17
278351,1,45383,291221,301442,2011-11-17
97544,1,45383,291221,301442,2011-11-17
36227,1,45383,291221,301442,2011-11-17
34883,1,45383,291221,301442,2011-11-17
99525,1,45383,291221,301442,2011-11-17
278352,1,45383,291221,301442,2011-11-17
46391,1,45383,291221,301442,2011-11-17
56176,1,45383,291221,301442,2011-11-17
47346,1,45383,291221,301442,2011-11-17
258363,1,45383,291221,301442,2011-11-17
424,1,45383,291221,301442,2011-11-17
78877,1,45383,291221,301442,2011-11-17
104911,1,45383,291221,301442,2011-11-17
165563,1,217908,312858,316176,2012-01-24
293163,1,217908,312858,316176,2012-01-24
93789,1,217908,312858,316176,2012-01-24
15346,1,217908,312858,316176,2012-01-24
165565,1,217908,312858,316176,2012-01-24
293164,1,217908,312858,316176,2012-01-24
28878,1,266445,189187,324001,2012-02-28
28878,1,38506,189187,324001,2012-02-28
28878,1,57187,189187,324001,2012-02-28
165563,1,165563,312858,325324,2012-03-05
165563,1,293163,312858,325324,2012-03-05
165563,1,93789,312858,325324,2012-03-05
165563,1,15346,312858,325324,2012-03-05
165563,1,165565,312858,325324,2012-03-05
165563,1,293164,312858,325324,2012-03-05
293163,1,165563,312858,325324,2012-03-05
293163,1,293163,312858,325324,2012-03-05
293163,1,93789,312858,325324,2012-03-05
293163,1,15346,312858,325324,2012-03-05
293163,1,165565,312858,325324,2012-03-05
293163,1,293164,312858,325324,2012-03-05
93789,1,165563,312858,325324,2012-03-05
93789,1,293163,312858,325324,2012-03-05
93789,1,93789,312858,325324,2012-03-05
93789,1,15346,312858,325324,2012-03-05
93789,1,165565,312858,325324,2012-03-05
93789,1,293164,312858,325324,2012-03-05
15346,1,165563,312858,325324,2012-03-05
15346,1,293163,312858,325324,2012-03-05
15346,1,93789,312858,325324,2012-03-05
15346,1,15346,312858,325324,2012-03-05
15346,1,165565,312858,325324,2012-03-05
15346,1,293164,312858,325324,2012-03-05
165565,1,165563,312858,325324,2012-03-05
165565,1,293163,312858,325324,2012-03-05
165565,1,93789,312858,325324,2012-03-05
165565,1,15346,312858,325324,2012-03-05
165565,1,165565,312858,325324,2012-03-05
165565,1,293164,312858,325324,2012-03-05
293164,1,165563,312858,325324,2012-03-05
293164,1,293163,312858,325324,2012-03-05
293164,1,93789,312858,325324,2012-03-05
293164,1,15346,312858,325324,2012-03-05
293164,1,165565,312858,325324,2012-03-05
293164,1,293164,312858,325324,2012-03-05
157552,1,30249,309747,333284,2012-04-09
157552,1,30250,309747,333284,2012-04-09
30249,1,286756,319451,333649,2012-04-11
30249,1,16469,319451,333649,2012-04-11
30249,1,19912,319451,333649,2012-04-11
30249,1,271730,319451,333649,2012-04-11
30249,1,43335,319451,333649,2012-04-11
30250,1,286756,319451,333649,2012-04-11
30250,1,16469,319451,333649,2012-04-11
30250,1,19912,319451,333649,2012-04-11
30250,1,271730,319451,333649,2012-04-11
30250,1,43335,319451,333649,2012-04-11
116539,1,233073,326066,337274,2012-04-26
116539,1,68247,326066,337274,2012-04-26
116539,1,198521,326066,337274,2012-04-26
116539,1,143095,326066,337274,2012-04-26
113884,1,233073,326066,337274,2012-04-26
113884,1,68247,326066,337274,2012-04-26
113884,1,198521,326066,337274,2012-04-26
113884,1,143095,326066,337274,2012-04-26
138855,1,164801,341675,348198,2012-06-14
138855,1,138831,341675,348198,2012-06-14
138855,1,130561,341675,348198,2012-06-14
138855,1,3860,341675,348198,2012-06-14
273215,1,7508,315209,348802,2012-06-16
10308,1,33207,315209,348802,2012-06-16
10308,1,12977,315209,348802,2012-06-16
10308,1,7508,315209,348802,2012-06-16
7733,1,7733,352283,352300,1996-04-02
7733,1,31076,352283,352300,1996-04-02
31076,1,7733,352283,352300,1996-04-02
31076,1,31076,352283,352300,1996-04-02
2271,1,165473,623922,397108,2005-10-24
122085,1,9818,509232,434081,2000-02-29
122085,1,50395,509232,434081,2000-02-29
90753,1,9818,509232,434081,2000-02-29
90753,1,50395,509232,434081,2000-02-29
7152,1,16020,511329,435157,2000-05-02
44146,1,16020,511329,435157,2000-05-02
15703,1,16234,434294,435840,2000-06-11
344479,1,16234,434294,435840,2000-06-11
278829,1,16234,434294,435840,2000-06-11
100577,1,22042,435481,436304,2000-07-09
16020,1,2079,433532,436635,2000-07-28
16020,1,49729,433532,436635,2000-07-28
343963,1,49729,433532,436635,2000-07-28
520,1,49499,433484,436773,2000-08-07
520,1,46733,433484,436773,2000-08-07
520,1,39344,433484,436773,2000-08-07
114070,1,49499,433484,436773,2000-08-07
114070,1,46733,433484,436773,2000-08-07
114070,1,39344,433484,436773,2000-08-07
122085,1,7733,433758,437669,2000-10-02
122085,1,31076,433758,437669,2000-10-02
90753,1,7733,433758,437669,2000-10-02
90753,1,31076,433758,437669,2000-10-02
43169,1,23976,436058,438239,2000-11-06
43171,1,23976,436058,438239,2000-11-06
43169,1,43169,436058,438424,2000-11-16
43169,1,43171,436058,438424,2000-11-16
43171,1,43169,436058,438424,2000-11-16
43171,1,43171,436058,438424,2000-11-16
16234,1,134866,435615,438927,2000-12-14
16234,1,134867,435615,438927,2000-12-14
20275,1,11553,508899,439175,2000-12-29
40205,1,20486,438909,439581,2001-01-25
40205,1,26054,438909,439581,2001-01-25
77224,1,58898,434865,439585,2001-01-25
77224,1,6127,434865,439585,2001-01-25
77224,1,123517,434865,439585,2001-01-25
58061,1,11338,439579,439730,2001-02-05
58061,1,11339,439579,439730,2001-02-05
43030,1,11338,439579,439730,2001-02-05
43030,1,11339,439579,439730,2001-02-05
43031,1,11338,439579,439730,2001-02-05
43031,1,11339,439579,439730,2001-02-05
167449,1,10107,434491,439863,2001-02-12
178069,1,10107,434491,439863,2001-02-12
5876,1,10107,434491,439863,2001-02-12
58061,1,58061,439579,440020,2001-02-20
58061,1,43030,439579,440020,2001-02-20
58061,1,43031,439579,440020,2001-02-20
43030,1,58061,439579,440020,2001-02-20
43030,1,43030,439579,440020,2001-02-20
43030,1,43031,439579,440020,2001-02-20
43031,1,58061,439579,440020,2001-02-20
43031,1,43030,439579,440020,2001-02-20
43031,1,43031,439579,440020,2001-02-20
12313,1,6859,459019,441959,2001-05-28
20452,1,6859,459019,441959,2001-05-28
20454,1,6859,459019,441959,2001-05-28
54813,1,46894,442472,442399,2001-06-18
28612,1,46894,442472,442399,2001-06-18
123146,1,46894,442472,442399,2001-06-18
349443,1,40780,443053,443078,2001-07-17
9972,1,40780,443053,443078,2001-07-17
46176,1,40780,443053,443078,2001-07-17
1270,1,40780,443053,443078,2001-07-17
8690,1,40780,443053,443078,2001-07-17
345477,1,40780,443053,443078,2001-07-17
10201,1,40780,443053,443078,2001-07-17
15009,1,40780,443053,443078,2001-07-17
348452,1,40780,443053,443078,2001-07-17
340611,1,40780,443053,443078,2001-07-17
349444,1,40780,443053,443078,2001-07-17
345336,1,40780,443053,443078,2001-07-17
8697,1,40780,443053,443078,2001-07-17
1275,1,40780,443053,443078,2001-07-17
48113,1,82087,438343,443291,2001-07-29
45383,1,343980,512089,443900,2001-09-01
45383,1,48772,512089,443900,2001-09-01
349941,1,48772,512089,443900,2001-09-01
346061,1,48772,512089,443900,2001-09-01
107672,1,48772,512089,443900,2001-09-01
349942,1,48772,512089,443900,2001-09-01
349943,1,48772,512089,443900,2001-09-01
53281,1,48772,512089,443900,2001-09-01
78891,1,48772,512089,443900,2001-09-01
7345,1,48772,512089,443900,2001-09-01
345414,1,48772,512089,443900,2001-09-01
345263,1,1248,438929,444226,2001-09-18
38445,1,1248,438929,444226,2001-09-18
266424,1,1248,438929,444226,2001-09-18
38446,1,1248,438929,444226,2001-09-18
137723,1,1248,438929,444226,2001-09-18
38677,1,1248,438929,444226,2001-09-18
1946,1,2078,438166,445520,2001-11-21
346834,1,2078,438166,445520,2001-11-21
11338,1,105864,445507,445636,2001-11-28
11338,1,8363,445507,445636,2001-11-28
11338,1,29180,445507,445636,2001-11-28
11339,1,105864,445507,445636,2001-11-28
11339,1,8363,445507,445636,2001-11-28
11339,1,29180,445507,445636,2001-11-28
67397,1,67397,502266,446425,2002-01-14
67397,1,92510,502266,446425,2002-01-14
92510,1,67397,502266,446425,2002-01-14
92510,1,92510,502266,446425,2002-01-14
113384,1,46894,441288,447419,2002-03-04
62021,1,46894,441288,447419,2002-03-04
348593,1,46894,441288,447419,2002-03-04
48113,1,5451,438343,447873,2002-03-26
48113,1,1196,438343,447873,2002-03-26
48113,1,1198,438343,447873,2002-03-26
5428,1,345117,445391,448462,2002-04-23
13257,1,46423,503346,448849,2002-05-13
12008,1,17377,447785,451378,2002-09-06
12008,1,13257,447785,451378,2002-09-06
43367,1,17377,447785,451378,2002-09-06
43367,1,13257,447785,451378,2002-09-06
27413,1,17377,447785,451378,2002-09-06
27413,1,13257,447785,451378,2002-09-06
48772,1,30323,510678,451894,2002-09-30
48772,1,149481,510678,451894,2002-09-30
4578,1,91571,501521,452414,2002-10-23
4578,1,38993,501521,452414,2002-10-23
6297,1,91571,501521,452414,2002-10-23
6297,1,38993,501521,452414,2002-10-23
34924,1,55788,445291,453739,2002-12-17
34924,1,8732,445291,453739,2002-12-17
34924,1,62557,445291,453739,2002-12-17
25155,1,55788,445291,453739,2002-12-17
25155,1,8732,445291,453739,2002-12-17
25155,1,62557,445291,453739,2002-12-17
25156,1,55788,445291,453739,2002-12-17
25156,1,8732,445291,453739,2002-12-17
25156,1,62557,445291,453739,2002-12-17
188182,1,55788,445291,453739,2002-12-17
188182,1,8732,445291,453739,2002-12-17
188182,1,62557,445291,453739,2002-12-17
348253,1,55788,445291,453739,2002-12-17
348253,1,8732,445291,453739,2002-12-17
348253,1,62557,445291,453739,2002-12-17
74220,1,55823,444055,453902,2002-12-24
74220,1,184830,444055,453902,2002-12-24
10979,1,55823,444055,453902,2002-12-24
10979,1,184830,444055,453902,2002-12-24
74220,1,55825,444055,453902,2002-12-24
10979,1,55825,444055,453902,2002-12-24
74220,1,74220,444055,456100,2003-04-09
74220,1,10979,444055,456100,2003-04-09
10979,1,74220,444055,456100,2003-04-09
10979,1,10979,444055,456100,2003-04-09
45361,1,46977,455414,456518,2003-04-28
64394,1,46977,455414,456518,2003-04-28
87338,1,34494,456140,457009,2003-05-18
47185,1,34494,456140,457009,2003-05-18
7891,1,160710,436391,457037,2003-05-19
7891,1,353973,436391,457037,2003-05-19
25007,1,67950,452567,457209,2003-05-27
83246,1,67950,452567,457209,2003-05-27
28176,1,67950,452567,457209,2003-05-27
22042,1,245121,452567,457209,2003-05-27
22042,1,67950,452567,457209,2003-05-27
10859,1,902,457434,458243,2003-07-09
10859,1,109718,457434,458243,2003-07-09
10859,1,65918,457434,458243,2003-07-09
22346,1,902,457434,458243,2003-07-09
22346,1,109718,457434,458243,2003-07-09
22346,1,65918,457434,458243,2003-07-09
46894,1,11335,458201,458350,2003-07-11
46894,1,91755,458201,458350,2003-07-11
34494,1,356943,452109,460202,2003-10-02
34494,1,89203,452109,460202,2003-10-02
1081,1,38761,443524,460423,2003-10-10
1081,1,38762,443524,460423,2003-10-10
343812,1,38761,443524,460423,2003-10-10
343812,1,38762,443524,460423,2003-10-10
1082,1,38761,443524,460423,2003-10-10
1082,1,38762,443524,460423,2003-10-10
107725,1,114070,511831,460876,2003-10-29
364995,1,114070,511831,460876,2003-10-29
352641,1,114070,511831,460876,2003-10-29
11754,1,114070,511831,460876,2003-10-29
34051,1,29125,449049,461128,2003-11-07
34051,1,91998,449049,461128,2003-11-07
34051,1,29128,449049,461128,2003-11-07
48113,1,217613,438489,464918,2004-04-20
48113,1,5219,438489,464918,2004-04-20
55788,1,5435,438721,466264,2004-06-16
62557,1,5435,438721,466264,2004-06-16
238639,1,2078,467753,468000,2004-08-24
238639,1,520,467753,468000,2004-08-24
69727,1,2078,467753,468000,2004-08-24
69727,1,520,467753,468000,2004-08-24
21975,1,2078,467753,468000,2004-08-24
21975,1,520,467753,468000,2004-08-24
21975,1,8457,467753,468000,2004-08-24
41790,1,2078,467753,468000,2004-08-24
41790,1,520,467753,468000,2004-08-24
40780,1,126060,459427,470607,2004-12-03
70127,1,66999,38075,473054,2005-03-14
70128,1,66999,38075,473054,2005-03-14
344150,1,38761,436787,473506,2005-03-31
344150,1,38762,436787,473506,2005-03-31
346075,1,38761,436787,473506,2005-03-31
346075,1,38762,436787,473506,2005-03-31
84523,1,38761,436787,473506,2005-03-31
84523,1,38762,436787,473506,2005-03-31
345674,1,8958,469123,476002,2005-07-05
44644,1,8958,469123,476002,2005-07-05
65056,1,8958,469123,476002,2005-07-05
65058,1,8958,469123,476002,2005-07-05
38761,1,4203,476232,476421,2005-07-22
38762,1,4203,476232,476421,2005-07-22
45383,1,107804,476304,476535,2005-07-27
27551,1,5195,465604,477372,2005-08-31
258129,1,42537,304008,477895,2005-09-19
42537,1,70830,304008,477895,2005-09-19
42537,1,42537,304008,477895,2005-09-19
258130,1,42537,304008,477895,2005-09-19
179174,1,42537,304008,477895,2005-09-19
42538,1,42537,304008,477895,2005-09-19
29062,1,42537,304008,477895,2005-09-19
179175,1,42537,304008,477895,2005-09-19
